,Dim1,Dim2,name,party
192,17.064137,0.7735587,이만희,국민의힘
193,-11.326179,5.4622164,이병진,더불어민주당
194,-4.2792697,11.173825,이상식,더불어민주당
195,15.91157,-3.7807932,이상휘,국민의힘
196,17.214838,1.6355762,이성권,국민의힘
197,-8.659617,4.861748,이성윤,더불어민주당
198,-13.381376,13.288249,이소영,더불어민주당
199,-13.799496,2.7598693,이수진,더불어민주당
200,4.192072,-13.834213,이양수,국민의힘
201,7.8274293,8.910213,이언주,더불어민주당
202,-9.736164,2.5690906,이연희,더불어민주당
203,-12.111083,10.2887945,이용선,더불어민주당
204,-12.802994,6.130088,이용우,더불어민주당
205,-2.9295816,-7.1383004,이원택,더불어민주당
206,8.004708,-8.161557,이인선,국민의힘
207,-12.012194,6.653218,이인영,더불어민주당
208,-11.658594,0.5075291,이재강,더불어민주당
209,-3.239996,-1.2857966,이재관,더불어민주당
210,-11.378245,10.206639,이재명,더불어민주당
211,5.033648,11.692018,이재정,더불어민주당
212,2.5032914,9.814842,이정문,더불어민주당
213,-10.688689,5.9675283,이정헌,더불어민주당
214,7.4143414,-13.193562,이종배,국민의힘
215,12.627721,-11.098168,이종욱,국민의힘
216,3.5505333,-16.36943,이주영,개혁신당
217,-6.489792,-5.549997,이준석,개혁신당
218,17.168375,0.39587364,이철규,국민의힘
219,-6.0821714,6.6550465,이춘석,더불어민주당
220,6.380099,12.338545,이학영,더불어민주당
221,-13.232653,4.5768547,이해민,조국혁신당
222,-3.560089,11.22702,이해식,더불어민주당
223,6.9457583,-12.466575,이헌승,국민의힘
224,-11.20137,9.216087,이훈기,더불어민주당
225,8.164669,-8.589557,인요한,국민의힘
226,-10.983598,4.641026,임광현,더불어민주당
227,-15.060543,8.969351,임미애,더불어민주당
228,-3.3813162,-7.238068,임오경,더불어민주당
229,7.5952163,-12.13999,임이자,국민의힘
230,11.175471,-11.810254,임종득,국민의힘
231,-17.281487,-2.769859,임호선,더불어민주당
232,0.59118915,7.098134,장경태,더불어민주당
233,4.8336143,-11.670267,장동혁,국민의힘
234,-12.072533,9.103852,장종태,더불어민주당
235,-5.3230076,3.3985808,장철민,더불어민주당
236,-7.306099,3.5513759,전용기,더불어민주당
237,-20.040356,6.546558,전재수,더불어민주당
238,-16.456186,-2.6218545,전종덕,진보당
239,-8.856376,1.6089629,전진숙,더불어민주당
240,-4.084273,5.8641734,전현희,더불어민주당
241,9.312235,-12.544567,정동만,국민의힘
242,-6.31735,-5.5478306,정동영,더불어민주당
243,17.41096,1.6282812,정성국,국민의힘
244,-7.3961186,9.371526,정성호,더불어민주당
245,15.568729,-4.590322,정연욱,국민의힘
246,-11.415517,0.4008855,정을호,더불어민주당
247,6.4283953,11.216686,정일영,더불어민주당
248,5.542515,-14.58575,정점식,국민의힘
249,-15.767865,4.7488384,정준호,더불어민주당
250,-8.067445,6.1915584,정진욱,더불어민주당
251,-9.093554,6.817758,정청래,더불어민주당
252,-3.4000213,-7.1952276,정춘생,조국혁신당
253,-3.857499,-0.88503724,정태호,더불어민주당
254,-14.662241,3.7110488,정혜경,진보당
255,7.9754977,-12.218679,정희용,국민의힘
256,-16.382118,-3.8989558,조경태,국민의힘
257,-10.123319,4.051076,조계원,더불어민주당
258,-0.35927245,-9.349006,조국,조국혁신당
259,16.647858,1.074249,조배숙,국민의힘
260,-7.094909,-1.013016,조승래,더불어민주당
261,8.527297,-12.457703,조승환,국민의힘
262,16.476458,4.102902,조은희,국민의힘
263,-14.634986,10.913024,조인철,더불어민주당
264,6.496339,12.202284,조정식,더불어민주당
265,17.0603,0.34751648,조정훈,국민의힘
266,8.313107,-11.585385,조지연,국민의힘
267,17.082582,-5.5388446,주진우,국민의힘
268,-4.493815,10.098136,주철현,더불어민주당
269,16.480362,4.3558,주호영,국민의힘
270,-15.488115,7.493197,진선미,더불어민주당
271,3.9699748,10.205288,진성준,더불어민주당
272,16.677198,-7.766182,진종오,국민의힘
273,-13.534698,4.708312,차규근,조국혁신당
274,-10.0257,13.743862,차지호,더불어민주당
275,3.0944693,9.898806,채현일,더불어민주당
276,-8.018394,8.529634,천준호,더불어민주당
277,3.8780792,-16.152739,천하람,개혁신당
278,-15.798137,8.487445,최기상,더불어민주당
279,-14.8926,10.58312,최민희,더불어민주당
280,16.919125,-0.33978027,최보윤,국민의힘
281,6.4847193,-14.555306,최수진,국민의힘
282,9.725463,-14.21709,최은석,국민의힘
283,8.140744,-13.5701,최형두,국민의힘
284,2.3046877,-13.460026,추경호,국민의힘
285,-15.848093,-3.2034285,추미애,더불어민주당
286,9.217905,-13.20045,한기호,국민의힘
287,-10.832556,9.012266,한민수,더불어민주당
288,-11.235676,-3.6570253,한병도,더불어민주당
289,-2.7737567,0.13817981,한정애,더불어민주당
290,6.4905367,10.33105,한준호,더불어민주당
291,6.3744864,-15.532302,한지아,국민의힘
292,-13.532801,1.2631406,한창민,사회민주당
293,-16.859709,6.8963585,허성무,더불어민주당
294,-2.1992402,-2.0999577,허영,더불어민주당
295,5.5422664,10.289474,허종식,더불어민주당
296,5.7029915,11.037935,홍기원,더불어민주당
297,-14.422545,1.7536936,황명선,더불어민주당
298,14.196786,-4.256105,황운하,조국혁신당
299,-11.534094,7.519513,황정아,더불어민주당
300,10.494758,8.3274,황희,더불어민주당
