,agenda_name,agenda_id,agenda_url
59,공중 등 협박목적 및 대량살상무기확산을 위한 자금조달행위의 금지에 관한 법률 일부개정법률안(대안),2206914,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2K4Z1V2T0G3B1B3D3G6C0I5X2A4N5
60,이행강제금 규정 정비를 위한 가맹사업거래의 공정화에 관한 법률 등 10개 법률의 일부개정에 관한 법률안,2202638,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Y2Z4X0Y7W1X1T1R4R3P5Q2P5P7X3W8
61,여신전문금융업법 일부개정법률안,2202422,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2D4C0B6Z2A4W1V4T4R4A3B3A3Y2X1
62,신용협동조합법 일부개정법률안,2202417,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2A4I0N6L2U4S1R4P3Q8Y5X7V9W0V8
63,독점규제 및 공정거래에 관한 법률 일부개정법률안,2201853,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2A4Y0U7U1S1U1S0S4Q7R0Z6X7Y1W0
64,모두를 위한 통합교육 촉구 결의안,2206490,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_O2N4L1M1U2U0T1T6S1S0R3Y4Z9Y3Y9
65,2024년도 농림축산식품해양수산위원회 국정감사에 따른 감사원에 대한 감사요구안,2206647,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2M4M1B2J1J3J1G6C3J3N0Y4E9M6M7
66,2025년도에 발행하는 공급망안정화기금채권에 대한 국가보증동의안,2203532,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_O2I4G0I9N0M2I1J7Q1Y2K5O3I9B4Q5
67,2025년도에 발행하는 한국장학재단채권에 대한 국가보증동의안,2203531,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2H4P0U9I0Q2J1C7S1B2I2X6D7Y8T4
68,지방교부세법 일부개정법률안(대안),2206918,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2G4N1B2K2C0Q1O6U1Y5J5E6Y7C6N4
69,지방세특례제한법 일부개정법률안(대안),2206927,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2S4I1N2I2G0U1K6M1K4G5P5L5O9G1
70,지방세법 일부개정법률안(대안),2206916,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_V2G4W1P2P2V0G1Q6P0J5R3Y3E6V8T0
71,지방행정제재ㆍ부과금의 징수 등에 관한 법률 일부개정법률안,2205046,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_T2E4S1X0J3I0Y1V3Z5R3D4U1U8B3U7
